Product 01: Product Name = Oppo F15 Antishock Drop Resistance Transparent TPU Case Silicone Back Cover, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = Future Accessories, URL = https://www.daraz.pk/products/f15-tpu-i204044852-s1404522883.html?search=1, Price Details = Original: Rs. 399, Discounted: Rs. 149, Positive Seller Ratings = 91%, Ship on Time = 99%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
Product 20: Product Name = Infinix Hot 10i Soft Silicone Back Cover - Shockproof, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = Accessories Den, URL = https://www.daraz.pk/products/10i-i394871486-s1919864447.html?search=1, Price Details = Original: Rs. 289, Discounted: Rs. 199, Positive Seller Ratings = 91%, Ship on Time = 99%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
Product 22: Product Name = High Quality Retro Magnetic Flip Leather Case For Samsung Galaxy Note 10 Plus Phone Case Wallet Card Cover, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = HCAXY, URL = https://www.daraz.pk/products/10-i231674147-s1451409417.html?search=1, Price Details = Original: Rs. 2279, Discounted: Rs. 1322, Positive Seller Ratings = 92%, Ship on Time = 100%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
Product 23: Product Name = High Quality Retro Magnetic Flip Leather Case For Samsung Galaxy A53 5G Phone Case Wallet Card Cover, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = HCAXY, URL = https://www.daraz.pk/products/high-quality-retro-magnetic-flip-leather-case-for-samsung-galaxy-a53-5g-phone-case-wallet-card-cover-i365295455-s1817377923.html?search=1, Price Details = Original: Rs. 2279, Discounted: Rs. 1322, Positive Seller Ratings = 92%, Ship on Time = 100%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
Product 24: Product Name = High Quality Retro Magnetic Flip Leather Case For Apple iPhone 13 Pro Max Phone Case Wallet Card Cover, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = HCAXY, URL = https://www.daraz.pk/products/high-quality-retro-magnetic-flip-leather-case-for-apple-iphone-13-pro-max-phone-case-wallet-card-cover-i365292583-s1817382020.html?search=1, Price Details = Original: Rs. 2279, Discounted: Rs. 1322, Positive Seller Ratings = 92%, Ship on Time = 100%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
Product 26: Product Name = QAGS Oppo A52 Soft Transparent Tpu Case Silicone Ultra Thin Back Cover 1mm, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = Ali Gadgets (Islamabad), URL = https://www.daraz.pk/products/qags-a52-tpu-1-i127194814-s1286142111.html?search=1, Price Details = Original: Rs. 300, Discounted: Rs. 99, Positive Seller Ratings = 90%, Ship on Time = 99%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
Product 29: Product Name = Huawei Y7 Prime 2019 MATTE BLACK FLEXIBLE TPU CASE SLIM COVER - SHOCKPROOF, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = Future Accessories, URL = https://www.daraz.pk/products/huawei-y7-prime-2019-matte-black-flexible-tpu-case-slim-cover-shockproof-i199616154-s1397080072.html?search=1, Price Details = Original: Rs. 300, Discounted: Rs. 199, Positive Seller Ratings = 91%, Ship on Time = 99%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
Product 36: Product Name = Underwater Waterproof Rainproof Mobile Case PVC Bag Transparent Touch Screen Premium Cell Phone Pouch Cover For Travel Hiking Rainy Season Monsoon, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = Bunyad Collection (Karachi), URL = https://www.daraz.pk/products/pvc-i222168948-s1437665171.html?search=1, Price Details = Original: Rs. 200, Discounted: Rs. 180, Positive Seller Ratings = 90%, Ship on Time = 97%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
Product 37: Product Name = High Quality Retro Magnetic Flip Leather Case For Samsung Galaxy Note 20 Ultra Phone Case Wallet Card Cover, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = HCAXY, URL = https://www.daraz.pk/products/20-i231665476-s1451415156.html?search=1, Price Details = Original: Rs. 2279, Discounted: Rs. 1322, Positive Seller Ratings = 92%, Ship on Time = 100%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
Product 38: Product Name = Tecno Spark 20 Pro Plus Back Cover Soft Dust Plug Transparent TPU Camera Protection Phone Case, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = MBS Traders, URL = https://www.daraz.pk/products/20-tpu-i481570729-s2266081028.html?search=1, Price Details = Original: Rs. 1000, Discounted: Rs. 299, Positive Seller Ratings = 91%, Ship on Time = 100%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
Product 42: Product Name = High Quality Retro Magnetic Flip Leather Case For Samsung Galaxy Note 10 Phone Case Wallet Card Cover, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = HCAXY, URL = https://www.daraz.pk/products/10-i231671262-s1451407392.html?search=1, Price Details = Original: Rs. 2279, Discounted: Rs. 1322, Positive Seller Ratings = 92%, Ship on Time = 100%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
