Product Number,Product Name,Product Category,Brand Name,Seller Name,Price Details,Positive Seller Ratings,Ship on Time,Return Policy
Product 21,Vivo S1 Pro Soft Shock Proof Jelly Back Cover Transparent,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,SG Trader 1642704589,"Original: Rs. 199, Discounted: Rs. 119",85%,93%,14 days free & easy return (Change of mind is not applicable)
Product 22,High Quality Retro Magnetic Flip Leather Case For Samsung Galaxy Note 10 Plus Phone Case Wallet Card Cover,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,HCAXY,"Original: Rs. 2279, Discounted: Rs. 1322",92%,100%,14 days free & easy return (Change of mind is not applicable)
Product 23,High Quality Retro Magnetic Flip Leather Case For Samsung Galaxy A53 5G Phone Case Wallet Card Cover,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,HCAXY,"Original: Rs. 2279, Discounted: Rs. 1322",92%,100%,14 days free & easy return (Change of mind is not applicable)
Product 24,High Quality Retro Magnetic Flip Leather Case For Apple iPhone 13 Pro Max Phone Case Wallet Card Cover,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,HCAXY,"Original: Rs. 2279, Discounted: Rs. 1322",92%,100%,14 days free & easy return (Change of mind is not applicable)
Product 25,Vivo S1 Pro Rich Boss Synthetic Leather Flip Cover,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,A to Z Shop (Rawalpindi),"Original: Rs. 1999, Discounted: Rs. 1222 | Original: Rs. 1999, Discounted: Rs. 1333",68%,100%,14 days free & easy return (Change of mind is not applicable)
Product 26,QAGS Oppo A52 Soft Transparent Tpu Case Silicone Ultra Thin Back Cover 1mm,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,Ali Gadgets (Islamabad),"Original: Rs. 300, Discounted: Rs. 99",90%,99%,14 days free & easy return (Change of mind is not applicable)
Product 27,Infinix Note 10 Pro Soft Shock Proof Jelly Back Cover Transparent,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,SG Trader 1642704589,"Original: Rs. 199, Discounted: Rs. 119",85%,93%,14 days free & easy return (Change of mind is not applicable)
Product 28,Realme_C21Y AirBag ShockProof Anti-Burst Scratch Proof Transparent TPU Mobile Back Case,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,KD Accessories (Karachi),"Original: Rs. 299, Discounted: Rs. 139",88%,91%,14 days free & easy return (Change of mind is not applicable)
Product 29,Huawei Y7 Prime 2019 MATTE BLACK FLEXIBLE TPU CASE SLIM COVER - SHOCKPROOF,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,Future Accessories,"Original: Rs. 300, Discounted: Rs. 199",91%,99%,14 days free & easy return (Change of mind is not applicable)
Product 30,WATERPROOF MOBILE COVER,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,cloth shop and other items,"Original: Rs. 300, Discounted: Rs. 149",82%,95%,14 days free & easy return (Change of mind is not applicable)
Product 31,For ZTE Blade V30 Vita Skin Feel Butterfly Peony Embossed Leather Phone Case,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,XHC,"Original: Rs. 2443, Discounted: Rs. 1693 | Original: Rs. 2281, Discounted: Rs. 1581 | Original: Rs. 2380, Discounted: Rs. 1649",89%,100%,14 days free & easy return (Change of mind is not applicable)
Product 32,Apple iPhone 12 Pro max  Rich Boss Synthetic Leather Flip Cover,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,Phone Tech,"Original: Rs. 1999, Discounted: Rs. 888",86%,98%,14 days free & easy return (Change of mind is not applicable)
Product 33,infinix Smart 5 soft shock proof jelly back cover transparent,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,UZ Trader,"Original: Rs. 199, Discounted: Rs. 119",89%,91%,14 days free & easy return (Change of mind is not applicable)
Product 34,Vivo S1 Soft Shock Proof Jelly Back Cover Transparent,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,SG Trader 1642704589,"Original: Rs. 199, Discounted: Rs. 119",85%,93%,14 days free & easy return (Change of mind is not applicable)
Product 35,Samsung Galaxy A32 Soft Shock Proof Jelly Back Cover Transparent,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,SG Trader 1642704589,"Original: Rs. 199, Discounted: Rs. 119",85%,93%,14 days free & easy return (Change of mind is not applicable)
Product 36,Underwater Waterproof Rainproof Mobile Case PVC Bag Transparent Touch Screen Premium Cell Phone Pouch Cover For Travel Hiking Rainy Season Monsoon,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,Bunyad Collection (Karachi),"Original: Rs. 200, Discounted: Rs. 180",90%,97%,14 days free & easy return (Change of mind is not applicable)
Product 37,High Quality Retro Magnetic Flip Leather Case For Samsung Galaxy Note 20 Ultra Phone Case Wallet Card Cover,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,HCAXY,"Original: Rs. 2279, Discounted: Rs. 1322",92%,100%,14 days free & easy return (Change of mind is not applicable)
Product 38,Tecno Spark 20 Pro Plus Back Cover Soft Dust Plug Transparent TPU Camera Protection Phone Case,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,MBS Traders,"Original: Rs. 1000, Discounted: Rs. 299",91%,100%,14 days free & easy return (Change of mind is not applicable)
Product 39,Samsung Note 9 Rich Boss Synthetic Leather Flip Cover,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,J.K Tech,"Original: Rs. 1999, Discounted: Rs. 1099",80%,100%,14 days free & easy return (Change of mind is not applicable)
Product 40,Tecno Camon 12 Air Soft Shock Proof Jelly Back Cover Transparent,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,SG Trader 1642704589,"Original: Rs. 199, Discounted: Rs. 119",85%,93%,14 days free & easy return (Change of mind is not applicable)
Product 41,IPhone 7 Plus Soft Shock Proof Jelly Back Cover Transparent,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,SG Trader 1642704589,"Original: Rs. 199, Discounted: Rs. 119",85%,93%,14 days free & easy return (Change of mind is not applicable)
Product 42,High Quality Retro Magnetic Flip Leather Case For Samsung Galaxy Note 10 Phone Case Wallet Card Cover,Mobiles & Tablets/Mobile Accessories/Phone Cases,No Brand,HCAXY,"Original: Rs. 2279, Discounted: Rs. 1322",92%,100%,14 days free & easy return (Change of mind is not applicable)
